vocab,pattern_name,english,japanese
天才,天才〜,天才プログラマー,a programming genius
天才,天才〜,天才ハッカー,a genius hacker
天才,天才〜,天才ピアニスト,a born pianist
天才,天才に〜,天才になる,to become a genius
天才,天才に〜,天才にみえる,to look like a genius
天才,天才に〜,天才にする,to make someone a genius
天才,〜の天才,コンピューターの天才,a computer genius
天才,〜の天才,マーケティングの天才,a marketing genius
女子,女子〜,女子マラソン,a women's marathon
女子,女子〜,女子サッカー,women's soccer
女子,女子〜,女子トイレ,a women's toilet
女子,女子の〜,女子のグループ,a group of girls
女子,女子の〜,女子のユニフォーム,women's uniforms
女子,女子の〜,女子のみなさん,"hey girls, listen up girls"
女子,〜女子,オタク女子,otaku girls
女子,〜女子,カメラ女子,girls who are into photography
女子,〜女子,オトナ女子,mature women
女の子,女の子が〜,女の子がいる,there's a girl
女の子,女の子が〜,女の子がくる,a girl is coming
女の子,女の子が〜,女の子が立つ,the girl stands up
女の子,〜の女の子,バイトの女の子,a girl who works part-time at one's workplace
女の子,〜の女の子,クラスの女の子,the girls in the class
女の子,〜の女の子,タイプの女の子,a type of girl
女の子,女の子の〜,女の子のグループ,a group of girls
女の子,女の子の〜,女の子のキャラクター,a girl character
女の子,女の子の〜,女の子のママ,the girl's mom
上手,上手な〜,上手な人,a talented person
上手,上手な〜,上手なほう,better than average
上手,上手な〜,上手なコミュニケーション,good communication
上手,上手に〜,上手につかう,to use something well
上手,上手に〜,上手にできる,to be able to do something well
上手,上手に〜,上手になる,to get better at something
上手,〜上手,コミュニケーション上手,a good communicator
上手,〜上手,やりくり上手,good at budgeting
上手,〜上手,はなし上手,a good speaker
おはよう,おはよう〜,おはようメール,a good morning email
おはよう,おはよう〜,おはようございます,good morning
おはよう,おはようの〜,おはようのキス,a good morning kiss
おはよう,おはようの〜,おはようのあいさつ,good morning greetings
おはよう,おはようの〜,おはようのメール,a good morning email
手,手に〜,手にとる,to pick up in one's hand
手,手に〜,手にする,to obtain something
手,手に〜,手に入る,"to be available, to obtain something"
手,手を〜,手をふる,to wave one's hand
手,手を〜,手をのばす,to extend one's hand
手,手を〜,手をつなぐ,to hold hands
手,〜の手,人の手,a person's hand
手,〜の手,王女の手,a princess's hand
手,〜の手,ネコの手,a cat's paw
天,天の〜,天のおつげ,a divine message from heaven
天,天の〜,天のめぐみ,heavenly blessings
天,天の〜,天のつかい,"heavenly messenger, angel"
天,天に〜,天にいる,to be in heaven
天,天に〜,天にのぼる,to ascend to heaven
天,天に〜,天にかえる,to return to heaven
ホテル,ホテルの〜,ホテルのロビー,hotel lobby
ホテル,ホテルの〜,ホテルのレストラン,hotel restaurant
ホテル,ホテルの〜,ホテルのフロント,hotel front desk
ホテル,ホテルに〜,ホテルに入る,to enter a hotel
ホテル,ホテルに〜,ホテルにチェックインする,to check in to a hotel
ホテル,ホテルに〜,ホテルにいる,to be at a hotel
ホテル,〜ホテル,ペットホテル,a pet hotel
ホテル,〜ホテル,リゾートホテル,a resort hotel
ホテル,〜ホテル,ビジネスホテル,a business hotel
ホテル,ホテルを〜,ホテルをとる,to book a hotel
ホテル,ホテルを〜,ホテルをチェックアウトする,to check out of a hotel
ホテル,ホテルを〜,ホテルを出る,to leave a hotel
入力,〜入力,データ入力,data entry
入力,〜入力,パスワード入力,password input
入力,〜入力,カナ入力,kana input
入力,〜の入力,パスワードの入力,password input
入力,〜の入力,データの入力,data entry
入力,〜の入力,メールアドレスの入力,email address input
入力,入力〜,入力ミス,input errors
入力,入力〜,入力データ,input data
入力,入力〜,入力フォーム,input form
入力,入力を〜,入力をおねがいします,please input
入力,入力を〜,入力をしてください,please input
入力,入力を〜,入力をする,to input
中,中から〜,中から出てくる,to come out from inside
中,中から〜,中からきこえる,to hear a sound coming from inside
中,中から〜,中からあける,to open something from inside
中,中に〜,中に入る,to go inside
中,中に〜,中にある,to be inside
中,中に〜,中にいる,to be inside
一月,一月の〜,一月のメニュー,January's menu
一月,一月の〜,一月のふじ山,Mt. Fuji in January
一月,一月の〜,一月のセール,January sale
一月,一月〜,一月九日,January 9
一月,一月〜,一月八日,January 8
一月,一月〜,一月一日,January 1
日本,日本の〜,日本の人々,the people of Japan
日本,日本の〜,日本の木,trees in Japan
日本,日本の〜,日本の山,mountains in Japan
日本,日本に〜,日本にやってくる,to be coming to Japan
日本,日本に〜,日本にいる,to be in Japan
日本,日本に〜,日本にある,to be in Japan
六月,六月〜,六月八日,June 8
六月,六月〜,六月六日,June 6
六月,六月〜,六月七日,June 7
六月,六月の〜,六月のカレンダー,calendar for June
六月,六月の〜,六月のおわり,end of June
六月,六月の〜,六月のはじめ,beginning of June
王,王の〜,王の子,the king's child
王,王の〜,王の力,the king's power
王,王の〜,王のすがた,the figure of the king
王,王に〜,王になる,to become king
王,王に〜,王につかえる,to serve the king
王,王に〜,王にする,to make someone a king
王,〜の王,山の王,the King of the Mountain
王,〜の王,ライオンの王,the King of the Lions
王,〜の王,火の王,the King of Fire
夕べ,〜の夕べ,ワインの夕べ,wine night
夕べ,〜の夕べ,ギターの夕べ,guitar night
夕べ,〜の夕べ,オペラの夕べ,a night at the opera
夕べ,夕べの〜,夕べのミサ,"evening Mass, last night's Mass"
夕べ,夕べの〜,夕べのウォーキング,"an evening walk, last night's walk"
夕べ,夕べの〜,夕べのディナー,last night's dinner
左右,左右の〜,左右の人,people on the left and the right
左右,左右の〜,左右のバランス,balance between the left and the right
左右,左右の〜,左右のピアス,left and right earrings
左右,左右に〜,左右につける,attach to the left and the right
左右,左右に〜,左右にいる,be on both the left and right sides
左右,左右に〜,左右にある,be on both the left and right sides
左,左に〜,左にある,to be on the left
左,左に〜,左にまがる,to turn left
左,左に〜,左にいる,"to be on the left, to stay left"
左,左〜,左サイド,left side
左,左〜,左まわり,counterclockwise rotation
左,左〜,左ハンドル,left-hand drive
左,左の〜,左の人,a person on the left
左,左の〜,左のアイコン,left icon
左,左の〜,左のボタン,left button
五月,五月の〜,五月のゴールデンウィーク,Golden week in May
五月,五月の〜,五月のこいのぼり,carp-shaped streamers used in May
五月,五月〜,五月ごろ,around May
五月,五月〜,五月三日,May 3
五月,五月〜,五月いっぱい,throughout May
月,〜な月,小さな月,a small moon
月,〜な月,大きな月,a big moon
月,〜な月,きれいな月,a beautiful moon
月,月を〜,月をながめる,to gaze the Moon
月,月を〜,月をみる,to look at the moon
月,月を〜,月をみあげる,to look up at the moon
月,〜月,白い月,a white moon
月,〜月,あかるい月,a bright moon
月,〜月,丸い月,a round moon
月,月の〜,月のあかり,moonlight
月,月の〜,月のひかり,moonlight
月,月の〜,月のかたち,the shape of the moon
月,お月〜,お月さま,the moon
月,お月〜,お月さん,the moon
月,月が〜,月がある,the moon is there
月,月が〜,月がみえる,the moon is visible
月,月が〜,月が出る,the moon appears
九日,〜九日,十月九日,October 9
九日,〜九日,六月九日,June 9
九日,〜九日,五月九日,May 9
九日,九日の〜,九日のコンサート,the concert on the ninth
九日,九日の〜,九日のパーティー,the party on the ninth
九日,九日の〜,九日のフェス,the festival on the ninth
十月,十月〜,十月十日,October 10
十月,十月〜,十月五日,October 5
十月,十月〜,十月九日,October 9
十月,十月の〜,十月のなかば,mid-October
十月,十月の〜,十月のはじめ,beginning of October
十月,十月の〜,十月のおわり,end of October
一日,一日で〜,一日でおわる,to finish in a day
一日,一日で〜,一日でできる,to be able to do something in a day
一日,一日で〜,一日でつくる,to make something in a day
一日,一日の〜,一日のスタート,the start of the day
一日,一日の〜,一日のほとんど,most of the day
一日,一日の〜,一日のスケジュール,the schedule for the day
一日,一日〜,一日中,all day long
一日,一日〜,一日十ページ,ten pages per day
一日,一日〜,一日おき,every two days
一日,〜一日,二月一日,February 1
一日,〜一日,三月一日,March 1
一日,〜一日,一月一日,January 1
千円,千円を〜,千円をはらう,to pay 1000 yen
千円,千円を〜,千円をあげる,to give 1000 yen
千円,千円を〜,千円をもらう,to receive 1000 yen
千円,千円の〜,千円のパン,1000-yen bread
千円,千円の〜,千円のクッキー,1000-yen cookies
千円,千円の〜,千円のケーキ,a 1000-yen cake
玉ねぎ,玉ねぎを〜,玉ねぎをスライスする,to slice an onion
玉ねぎ,玉ねぎを〜,玉ねぎをいためる,to fry onions
玉ねぎ,玉ねぎを〜,玉ねぎをカットする,to cut onions
玉ねぎ,玉ねぎと〜,玉ねぎとニンジン,onions and carrots
玉ねぎ,玉ねぎと〜,玉ねぎとジャガイモ,onions and potatoes
玉ねぎ,玉ねぎと〜,玉ねぎとニンニク,onions and garlic
玉ねぎ,玉ねぎの〜,玉ねぎのスライス,onion slices
玉ねぎ,玉ねぎの〜,玉ねぎのうまみ,the deliciousness of onions
玉ねぎ,玉ねぎの〜,玉ねぎのかわ,onion skins
人々,〜の人々,まわりの人々,the people around us
人々,〜の人々,たくさんの人々,many people
人々,〜の人々,すべての人々,all people
人々,人々の〜,人々の力,people power
人々,人々の〜,人々のニーズ,people's needs
人々,人々の〜,人々のくらし,people's lives
王子,王子〜,王子たち,the princes
王子,王子〜,王子さま,the prince
王子,〜王子,フィリップ王子,Prince Philip
王子,〜王子,ハンス王子,Prince Hans
王子,〜王子,アダム王子,Prince Adam
王子,〜の王子,上の王子,the elder prince
王子,〜の王子,うちの王子,our prince
王子,〜の王子,二人の王子,the two princes
王女,王女〜,王女さま,the princess
王女,王女〜,王女ら,princesses
王女,王女〜,王女たち,princesses
王女,王女の〜,王女の子犬,the princess's puppy
王女,王女の〜,王女の目,the princess's eyes
王女,王女の〜,王女のそば,the princess's side
王女,〜王女,ジャスミン王女,Princess Jasmine
王女,〜王女,シャーロット王女,Princess Charlotte
王女,〜王女,アン王女,Princess Anne
子犬,子犬が〜,子犬がいる,"there are puppies, to have a puppy"
子犬,子犬が〜,子犬がなめる,the puppy licks
子犬,子犬が〜,子犬がくる,a puppy is coming
子犬,子犬の〜,子犬の口,the puppy's mouth
子犬,子犬の〜,子犬のしつけ,puppy training
子犬,子犬の〜,子犬のワクチン,vaccines for puppies
子犬,子犬を〜,子犬をしつける,to train a puppy
子犬,子犬を〜,子犬をむかえる,to get a puppy
子犬,子犬を〜,子犬をえらぶ,to choose a puppy
女王,女王〜,女王さま,the queen
女王,女王〜,女王バチ,a queen bee
女王,女王〜,女王アリ,a queen ant
女王,〜女王,エリザベス女王,Queen Elizabeth
女王,〜女王,エルサ女王,Queen Elsa
女王,〜女王,イギリス女王,the Queen of England
女王,〜の女王,アリの女王,a queen ant
女王,〜の女王,スペードの女王,Queen of Spades
女王,〜の女王,ハートの女王,Queen of Hearts
女王,女王に〜,女王にする,to make someone a queen
女王,女王に〜,女王になる,to become queen
女王,女王に〜,女王にわたす,to hand something over to the queen
中々,中々〜,中々ない,quite rare
中々,中々〜,中々できない,to be hard to do
中々,中々〜,中々むずかしい,very difficult
田んぼ,田んぼに〜,田んぼにいる,to be at the rice paddy
田んぼ,田んぼに〜, 田んぼに入る,to enter the rice paddy
田んぼ,田んぼの〜,田んぼの水,rice paddy water
田んぼ,田んぼの〜,田んぼの土,rice paddy soil
田んぼ,田んぼの〜,田んぼのオーナー,the owner of the rice paddy
田んぼ,田んぼを〜,田んぼをもっている,to own a rice paddy
田んぼ,田んぼを〜,田んぼをみにいく,to go see the rice paddy
田,田を〜,田をたがやす,to plough a rice field
田,田を〜,田をつくる,to cultivate a rice field
田,田を〜,田をもつ,to own rice fields
右,右の〜,右のボタン,right button
右,右の〜,右のグラフ,graph on the right
右,右の〜,右のアイコン,right icon
右,右〜,右上,upper right
右,右〜,右ひざ,right knee
右,右〜,右下,lower right
二日,〜二日,一月二日,January 2
二日,〜二日,二月二日,February 2
二日,〜二日,五月二日,May 2
二日,二日〜,二日おき,every three days (i.e. leaving two days in between)
二日,二日〜,二日目,the second day
二日,二日〜,二日ごと,every two days
七日,七日〜,七日目,the seventh day
七日,七日〜,七日ごと,every seven days
七日,七日〜,七日おき,every eight days
七日,〜七日,七月七日,July 7
七日,〜七日,八月七日,August 7
七日,〜七日,九月七日,September 7
六,六 + unit,六円,six yen
六,六 + unit,六ポイント,six points
六,六 + unit,六ユーロ,six euros
十六,十六 + unit,十六円,sixteen yen
十六,十六 + unit,十六ミリ,sixteen millimeters
十六,十六 + unit,十六ドル,sixteen dollars
六日,六日〜,六日目,sixth day
六日,六日〜,六日ごと,every six days
六日,六日〜,六日に,on the sixth
六日,〜六日,六月六日,June 6
六日,〜六日,八月六日,August 6
六日,〜六日,七月六日,July 6
六日,六日に〜,六日にある,to be on the sixth
六日,六日に〜,六日にする,to do on the sixth
六日,六日に〜,六日にいく,to go on the sixth
六日,六日に〜,六日にくる,to come on the sixth
六つ,六つの〜,六つのカテゴリー,six categories
六つ,六つの〜,六つのポイント,six points
六つ,六つの〜,六つのレベル,six levels
六つ,〜六つ,五つ六つ,five or six
六つ,〜六つ,だいたい六つ,roughly six
六つ,〜六つ,あと六つ,six more
小さい,〜小さい,まだ小さい,still little
小さい,〜小さい,かなり小さい,very small
小さい,〜小さい,とても小さい,very small
小さい,〜が小さい,目が小さい,the eyes are small
小さい,〜が小さい,サイズが小さい,this size is too small
小さい,〜が小さい,子どもが小さい,one's children are little
小さい,小さい〜,小さいころ,when I was little
小さい,小さい〜,小さいとき,when I was little
小さい,小さい〜,小さいもの,small things
日,日が〜,日がしずむ,the sun sets
日,日が〜,日がのぼる,the sun rises
日,日が〜,日がくれる,to get dark
日,お日〜,お日さん,the sun
日,お日〜,お日さま,the sun
日,〜日,ある日,"one day, a certain day"
日,〜日,その日,that day
日,〜日,この日,this day
刀,刀を〜,刀をぬく,to draw a sword
刀,刀を〜,刀をもつ,to carry a sword
刀,刀を〜,刀をふりまわす,to brandish a sword
十日,〜十日,二月十日,February 10
十日,〜十日,四月十日,April 10
十日,〜十日,十月十日,October 10
三日,三日〜,三日目,the third day
三日,三日〜,三日おき,every four days
三日,三日〜,三日ごと,every three days
三日,〜三日,一月三日,January 3
三日,〜三日,三月三日,March 3
三日,〜三日,二月三日,February 3
千,千 + unit,千ドル,thousands of dollars
千,千 + unit,千円,thousands of yen
千,千 + unit,千ポンド,thousands of pounds
上る,〜を上る,川を上る,to go upstream
上る,〜を上る,スロープを上る,to go up a slope
上る,〜を上る,エスカレーターを上る,to go up an escalator
上る,〜に上る,50%に上る,to be as high as 50%
上る,〜に上る,5000ドルに上る,to be up to $5000
上る,〜に上る,50人に上る,to be up to fifty people
正す,〜を正す,メガネを正す,to straighten one's glasses
正す,〜を正す,えりを正す,to straighten one's collar
正す,〜を正す,まちがいを正す,to correct an error
出る,〜に出る,テレビに出る,to be on TV
出る,〜に出る,でんわに出る,to answer the phone
出る,〜に出る,そとに出る,to go outside
出る,〜から出る,口から出る,"to slip out of one's mouth, to say accidentally"
出る,〜から出る,日本から出る,to leave Japan
出る,〜から出る,うちから出る,"to leave home, to go out of the house"
出る,〜が出る,スピードが出る,the speed increases
出る,〜が出る,はなしが出る,a story comes out
出る,〜が出る,なみだが出る,tears appear
立つ,〜に立つ,入り口に立つ,to stand at the entrance
立つ,〜に立つ,ステージに立つ,to get on stage
立つ,〜に立つ,上に立つ,to be superior
立つ,〜立つ,じっと立つ,to stand still
立つ,〜立つ,まっすぐ立つ,to stand up straight
立つ,〜立つ,しっかり立つ,to stand firmly
木,木を〜,木をきる,to cut wood
木,木を〜,木をうえる,to plant a tree
木,木を〜,木をつかう,to use wood
木,〜の木,りんごの木,apple tree
木,〜の木,サクラの木,cherry tree
木,〜の木,ヤシの木,palm tree
木,木の〜,木のかおり,the smell of wood
木,木の〜,木のぬくもり,the warmth of wood
木,木の〜,木のえだ,tree branches
水中,水中に〜,水中にもぐる,"to dive into the water, to go under the water"
水中,水中に〜,水中にいる,to be under the water
水中,水中に〜,水中に入る,"to go into the water, to go under the water"
水中,水中〜,水中めがね,swimming goggles
水中,水中〜,水中カメラ,underwater camera
水中,水中〜,水中ウォーキング,aqua walking
水中,水中の〜,水中のバクテリア,bacteria in the water
水中,水中の〜,水中のミネラル,minerals in water
水中,水中の〜,水中のプランクトン,plankton in the water
水中,水中で〜,水中でおならをする,to fart in water
水中,水中で〜,水中でくらす,to live underwater
水中,水中で〜,水中でジョギングをする,to jog in water
下手,下手を〜,下手をする,"to mess up, to have things go wrong"
下手,下手を〜,下手をうつ,to make a big mistake
下手,下手な〜,下手な人,an unskilled person
下手,下手な〜,下手なこと,something that one isn't good at
下手,下手な〜,下手な子,a child who's not good at something
下手,下手に〜,下手にうごく,to make a bad move
下手,下手に〜,下手になる,to become bad at something
火山,火山が〜,火山がある,there's a volcano
火山,火山が〜,火山がそびえる,volcanoes tower above
火山,火山が〜,火山ができる,a volcano forms
火山,火山〜,火山エリア,a volcanic area
火山,火山〜,火山ガス,volcanic gases
火山,火山〜,火山ツアー,a volcano tour
火山,火山の〜,火山のふもと,the foot of a volcano
火山,火山の〜,火山のマグマ,volcanic magma
火山,火山の〜,火山の火口,a volcanic crater
火山,〜火山,フォッサ火山,La Fossa Volcano
火山,〜火山,セントヘレンズ火山,Mount St. Helens
火山,〜火山,プロメテウス火山,Prometheus Volcano
水,水の〜,水の力,water power
水,水の〜,水のながれ,the flow of water
水,水の〜,水のおと,the sound of water
水,水を〜,水をかける,"to pour water onto, to spray water on"
水,水を〜,水をいれる,to pour water into
水,水を〜,水をのむ,to drink water
水,水に〜,水にいれる,to put something in water
水,水に〜,水にとける,to dissolve something in water
水,水に〜,水につける,to soak something in water
水,水が〜,水が出る,water comes out
水,水が〜,水がながれる,"water flows, water runs"
水,水が〜,水がたまる,"water accumulates, water pools"
水,水〜,水タバコ,"water pipe, hookah"
水,水〜,水たまり,"a puddle, a pool of water"
水,水〜,水まわり,a room where water is used
白,白の〜,白のブラウス,a white blouse
白,白の〜,白のタキシード,a white tuxedo
白,白の〜,白のドレス,a white dress
白,白に〜,白にする,"to make something white, to choose white"
白,白に〜,白になる,to become white
白,白に〜,白にぬる,to paint something white
白,白〜,白ごはん,cooked white rice
白,白〜,白ざとう,white sugar
白,白〜,白ワイン,white wine
白人,白人の〜,白人の人口,the Caucasian population
白人,白人の〜,白人の人,a white person
白人,白人の〜,白人の女の子,a white girl
白人,白人〜,白人カップル,a Caucasian couple
白人,白人〜,白人バックパッカー,a Caucasian backpacker
白人,白人〜,白人ミュージシャン,a Caucasian musician
文,文を〜,文を入力する,to type a sentence
文,文を〜,文をつくる,to make a sentence
文,文を〜,文をかく,to write a sentence
文,〜の文,二つの文,"two sentences, two pieces of writing"
文,〜の文,上の文,the sentence above
文,〜の文,一つの文,"one sentence, one piece of writing"
文,〜文,せつめい文,an explanatory statement
文,〜文,しつもん文,"a question, an interrogative sentence"
文,〜文,ぎもん文,an interrogative sentence
〜才,〜才,二才,two years old
〜才,〜才,三才,three years old
〜才,〜才,一才,one year old
〜円,〜円,十円,ten yen
〜円,〜円,五十円,fifty yen
〜円,〜円,一円,one yen
